linha_csv;id;n2_centro_custo;n3_centro_custo;n4_centro_custo;tipo_sugerido;confianca;motivo;observacao_resumo
223;002277;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 137.503 VENC. 15/02/26 VIA CARTÃO 8971 EM 10X - REF. A COMPRA DE BALANÇA DIGITAL SUSPENSA P/ USO NA BRAÇOFER - ITEM 1,  : 'REDUCAO DE ALIQUOTA CONFORME SF 4/98 - I
224;002324;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 137.503 VENC. 15/02/26 VIA CARTÃO 8971 EM 10X - REF. A COMPRA DE BALANÇA DIGITAL SUSPENSA P/ USO NA BRAÇOFER - ITEM 1,  : 'REDUCAO DE ALIQUOTA CONFORME SF 4/98 - I
225;003959;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 137.503 VENC. 15/02/26 VIA CARTÃO 8971 EM 10X - REF. A COMPRA DE BALANÇA DIGITAL SUSPENSA P/ USO NA BRAÇOFER - ITEM 1,  : 'REDUCAO DE ALIQUOTA CONFORME SF 4/98 - I
226;004216;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 137.503 VENC. 15/02/26 VIA CARTÃO 8971 EM 10X - REF. A COMPRA DE BALANÇA DIGITAL SUSPENSA P/ USO NA BRAÇOFER - ITEM 1,  : 'REDUCAO DE ALIQUOTA CONFORME SF 4/98 - I
227;004414;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 137.503 VENC. 15/02/26 VIA CARTÃO 8971 EM 10X - REF. A COMPRA DE BALANÇA DIGITAL SUSPENSA P/ USO NA BRAÇOFER - ITEM 1,  : 'REDUCAO DE ALIQUOTA CONFORME SF 4/98 - I
228;004420;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 137.503 VENC. 15/02/26 VIA CARTÃO 8971 EM 10X - REF. A COMPRA DE BALANÇA DIGITAL SUSPENSA P/ USO NA BRAÇOFER - ITEM 1,  : 'REDUCAO DE ALIQUOTA CONFORME SF 4/98 - I
229;003627;MARINGA DISTRITO;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA, REFERENTE A COMPRA DE MATERIAIS QUE SÃO USADOS PELOS FUNCIONARIOS DO PATIO E UNIDADE EM GERAL     NF: 13759  VENCIMENTO:25/02  BOLETO BANCARIO -  - BOL 25-2 VAL APR TRIB
243;003013;DOURADOS;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; NFE 146.493 PTO BOL VENC 05/02 - REF. A COMPRA DE EPIS E EQUIPAMENTOS EM FALTA PARA USO FUNCIONARIOS  - COMPRADO POR LEONARDO COMPRADOR DOURADOS - CST 20 - MERCADORIA SUJEITA A RE
245;003836;DOURADOS;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; NFE 147.738 PTO BOL VENC 05/03 E 05/04 - REF. A COMPRA DE ITENS E EQUIPAMENTOS EM FALTA PARA USO NO PATIO E MANUTENCOES - COMPRADO POR LEONARDO COMPRADOR DOURADOS - CST 20 - MERCA
246;004395;DOURADOS;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; NFE 147.738 PTO BOL VENC 05/03 E 05/04 - REF. A COMPRA DE ITENS E EQUIPAMENTOS EM FALTA PARA USO NO PATIO E MANUTENCOES - COMPRADO POR LEONARDO COMPRADOR DOURADOS - CST 20 - MERCA
247;004283;DOURADOS;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 148.481 VENC. 16/03/26 VIA BOL. - REF. A COMPRA DE UMA ESMERILHADEIRA P/ SO NO PATIO DE DOURADOS - CST 20 - MERCADORIA SUJEITA A REDUCAO DE BASE DE CALCULO CONFORM
266;001044;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 158.840 VENC. 15/02/26 VIA PIX - REF. A COMPRA DE MANGUEIRA HIDRAULICA GATES AGR1-8 E COMPLEMENTOS P/ MUDANÇA DE COMPRESSOR DA BRAÇOFER -  - PEDIDO: 566270 VOCE PA
287;003885;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISITINA - NFE. 159.466 VENC. 05/03/26 VIA PIX - REF. A COMPRA DE LONA PLASTICA P/ DESCONTAMINAÇÃO DE CAMINHÕES COMPRADOS NO LEILÃO -  - PEDIDO: 569840 VOCE PAGOU APROXIMADAMENTE
289;003886;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 159.468 VENC. 05/03/26 VIA PIX - REF. A COMPRA DE MANGUEIRA PULVERIZAR 1/2 700PSI E COMPLEMENTOS P/ USO NO CALIBRADOR DO PATIO MANUTENÇÃO, PRUDENTE -  - PEDIDO: 57
307;002128;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 160.232 VENC. 25/02/26 VIA PIX - REF. A COMPRADE MANGUEIRA AR/AGUA E COMPLEMENTOS P/ USO NA OFICINA, PRUDENTE -  - PEDIDO: 573902 VOCE PAGOU APROXIMADAMENTE:  58,6
311;003352;DOURADOS;ADMINISTRATIVO;ADMINISTRATIVO;CAMINHOES;baixa;sem indício forte (fallback); NFE 16.253 PTO VIA BOL VENC. 16/02 - REF. A COMPRA E TROCA DO FILTRO PARA O BEBEDOURO EXTERNO DO PATIO UNIDADE DOURADOS -  - DOCUMENTO EMITIDO POR ME OU EPP OPTANTE PELO SIMPLES N
336;001669;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4;" CRISTINA - NFE. 185.196 VENC. 05/03/26 VIA BOL. - REF. A COMPRA DE ESLMATE EPOXI CINZA CLARO 3,6LT P/ PINTURA NA OFICINA, PRUDENTE - VLR APROX DO TRIBUTO ""R$ 49,95(9,25%)"" - VENDE"
337;001670;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4;" CRISTINA - NFE. 185.395 VENC. 05/03/26 VIA BOL. - REF. A COMPRA DE 2 BALDES DE ESMALTE EPOXI CINZA CLARO 3,6LTS P/ USO NO CHÃO DA OFICINA - VLR APROX DO TRIBUTO ""R$ 49,95(9,25%)"" "
349;003828;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 19.828 VENC. 15/02/26 VIA CARTÃO DE CREDITO 8971 1X - REF. A COMPRA DE BOMBA DRENHO P/ USO NO AR CONDICIONADO DO REFEITORIO (408) -  - TOTAL APROXIMADO DE TRIBUTOS
368;001298;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 22.031 VENC. 22/02/26 VIA BOL. - REF. A COMPRA DE CARTÃO RFID CTA SMART SEM GTIN P/ USO NAS BOMBAS NO PATIO PRUDENTE -  -
369;004247;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 2.218 VENC. 15/03/26 VIA BOL. - REF. A COMPRA DE OXIGÊNIO QUE VAI SER UTILIZADO NA OFICINA DE PRUDENTE - SITUACOES TRIBUTADAS INTEGRALMENTE PELO IBS E CBS. - CENTR
379;001765;MARINGA DISTRITO;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4;" CRISTINA - VENC 06-03 - ESTOPA UNIDADE MARINGA PQ INDUSTRIAL -  - PATIO INDUSTRIAL.;CODIGO: 6534;VALOR APROXIMADO TOTAL DOS TRIBUTOS R$4,95 (4,95%) FONTE IBPT."
451;003977;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 35.741 VENC. 15/02/26 VIA CARTÃO DE CRÉDITO 8971 EM 1X - REF. A COMPRA DE RASPADOR MULTIUSO P/ RETIRAR OS ADESIVOS DOS CAMINHÕES QUE VÃO SER VENDIDOS - EMITIDO POR
452;003856;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 3.592 VENC. 05/03/26 VIA PIX - REF. A COMPRA DE CREMALHEIRA 1,5MTS INDUSTRIAL P/ USO NO PORTÃO DA CHACARA DO SR. RENATO -  - DOCUMENTO EMITIDO POR ME OU EPP OPTANT
456;000682;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 36.188 VENC. 05/02/26 VIA BOL. - REF. A COMPRA DE PONTA MONTADA E SILICONE INCOLOR P/ O CAMINHÃO GDB3A42, PANO DE MALHA E SILICONE P/ USO NA OFICINA E BICO DE CORT
457;000683;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 36.188 VENC. 05/02/26 VIA BOL. - REF. A COMPRA DE PONTA MONTADA E SILICONE INCOLOR P/ O CAMINHÃO GDB3A42, PANO DE MALHA E SILICONE P/ USO NA OFICINA E BICO DE CORT
460;000593;CAMPO GRANDE;COMERCIAL;COMERCIAL;CAMINHOES;baixa;sem indício forte (fallback); CRISTINA ( GISELE) REF. A COMPRA DE CLORO PARA EVITAR FOCO DE DENGUE PARA  A UNIDADE CAMPO GRANDE NF 36406 BOLETO BANCARIO VENC. 05/02 -  - PGT.: BOLETO BANCARIO VR. PGO R$: 0,00 
464;003924;VEICULO, MAQUINA E EQUIPAMENTO;EWU6143;EWU6143;JULIETAS;alta;menção direta a JULIETA; CRISTINA - NFE. 36.837 VENC. 05/03/26 VIA BOL. - REF. A COMPRA DE SILICONE VERMELHOR 50G P/ USO NA PRENSA MOVEL GDU0275, PARAFUSOS E PORCAS SEXTAVADAS, BARRA E PORCAS 3/4 P/ O CAM
468;003928;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;JULIETAS;alta;menção direta a JULIETA; CRISTINA - NFE. 36.837 VENC. 05/03/26 VIA BOL. - REF. A COMPRA DE SILICONE VERMELHOR 50G P/ USO NA PRENSA MOVEL GDU0275, PARAFUSOS E PORCAS SEXTAVADAS, BARRA E PORCAS 3/4 P/ O CAM
469;003929;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;JULIETAS;alta;menção direta a JULIETA; CRISTINA - NFE. 36.837 VENC. 05/03/26 VIA BOL. - REF. A COMPRA DE SILICONE VERMELHOR 50G P/ USO NA PRENSA MOVEL GDU0275, PARAFUSOS E PORCAS SEXTAVADAS, BARRA E PORCAS 3/4 P/ O CAM
479;000287;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 386 VENC. 25/01/26 VIA BOL. - REF. A COMPRA DE MANGUEIRA E ESPIRAIS P/ MANUTENÇÃO DE MAÇARICO DO PATIO UTILIZADO PELO DAVID -  - OBSERVACOES: PEDIDO VERBAL VINICIU
491;003348;DOURADOS;LOGISTICA;LOGISTICA;CAMINHOES;baixa;sem indício forte (fallback); NFE 3907 PTO BOL VENC. 15/02 - REF. COMPRA DE INTERCAP E SOLUPAM PARA LIMPEZA DA FROTA E MAQUINAS UND. DOURADOS. -  - NFE REFERENTE AO PEDIDO DE VENDA DE NO: 017904VEND: ITAMAR
492;003349;DOURADOS;LOGISTICA;LOGISTICA;CAMINHOES;baixa;sem indício forte (fallback); NFE 3907 PTO BOL VENC. 15/02 - REF. COMPRA DE INTERCAP E SOLUPAM PARA LIMPEZA DA FROTA E MAQUINAS UND. DOURADOS. -  - NFE REFERENTE AO PEDIDO DE VENDA DE NO: 017904VEND: ITAMAR
493;003350;DOURADOS;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; NFE 3907 PTO BOL VENC. 15/02 - REF. COMPRA DE INTERCAP E SOLUPAM PARA LIMPEZA DA FROTA E MAQUINAS UND. DOURADOS. -  - NFE REFERENTE AO PEDIDO DE VENDA DE NO: 017904VEND: ITAMAR
494;003351;DOURADOS;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; NFE 3907 PTO BOL VENC. 15/02 - REF. COMPRA DE INTERCAP E SOLUPAM PARA LIMPEZA DA FROTA E MAQUINAS UND. DOURADOS. -  - NFE REFERENTE AO PEDIDO DE VENDA DE NO: 017904VEND: ITAMAR
544;002268;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 53.994 VENC. 01/02/26 VIA CARTÃO 8971 EM 4X - REF. A COMPRA DE AR CONDICIONADO P/ USO NA SALA ESCRITORIO DA SELETIVA - VLR APROX DOS TRIBUTOS: R$ 729,07 FEDERAL  /
545;003829;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 53.994 VENC. 01/02/26 VIA CARTÃO 8971 EM 4X - REF. A COMPRA DE AR CONDICIONADO P/ USO NA SALA ESCRITORIO DA SELETIVA - VLR APROX DOS TRIBUTOS: R$ 729,07 FEDERAL  /
546;004352;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 53.994 VENC. 01/02/26 VIA CARTÃO 8971 EM 4X - REF. A COMPRA DE AR CONDICIONADO P/ USO NA SALA ESCRITORIO DA SELETIVA - VLR APROX DOS TRIBUTOS: R$ 729,07 FEDERAL  /
547;004537;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 53.994 VENC. 01/02/26 VIA CARTÃO 8971 EM 4X - REF. A COMPRA DE AR CONDICIONADO P/ USO NA SALA ESCRITORIO DA SELETIVA - VLR APROX DOS TRIBUTOS: R$ 729,07 FEDERAL  /
551;003342;LONDRINA;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 58.655 VENC. 18/02/26 VIA BOL. - REF. A COMPRA DE ADITIVO P/ DIESEL S10 1L P/ FROTA DE LONDRINA -  - MOTORISTA: 075.670.119-80 - RONAN PEREIRA DOS SANTOS LEI DO IC
559;002274;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 60.690 VENC. 26/03/2026 VIA BOL. - REF. A COMPRA DE UMA CHAVE LIGA E DESLIGA P/MAQUINA DE CORTAR FIO SR. ANTONIO. -  - PEDIDO: 164978 ICMS RECOLHIDO ANTERIORMENTE 
563;002014;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 618.917 VENC. 15/03/26 VIA CARTÃO DE CRÉDITO 8971 EM 10X - REF. A COMPRADE ESCADA DE FIBRA E ALUMINIO EXTENSIVEL P/ MANUTENÇÃO DE FIBRA NO PATIO DE PRUDENTE - PAGA
564;002090;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 618.917 VENC. 15/03/26 VIA CARTÃO DE CRÉDITO 8971 EM 10X - REF. A COMPRADE ESCADA DE FIBRA E ALUMINIO EXTENSIVEL P/ MANUTENÇÃO DE FIBRA NO PATIO DE PRUDENTE - PAGA
565;002121;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 618.917 VENC. 15/03/26 VIA CARTÃO DE CRÉDITO 8971 EM 10X - REF. A COMPRADE ESCADA DE FIBRA E ALUMINIO EXTENSIVEL P/ MANUTENÇÃO DE FIBRA NO PATIO DE PRUDENTE - PAGA
566;002184;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 618.917 VENC. 15/03/26 VIA CARTÃO DE CRÉDITO 8971 EM 10X - REF. A COMPRADE ESCADA DE FIBRA E ALUMINIO EXTENSIVEL P/ MANUTENÇÃO DE FIBRA NO PATIO DE PRUDENTE - PAGA
567;004316;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 618.917 VENC. 15/03/26 VIA CARTÃO DE CRÉDITO 8971 EM 10X - REF. A COMPRADE ESCADA DE FIBRA E ALUMINIO EXTENSIVEL P/ MANUTENÇÃO DE FIBRA NO PATIO DE PRUDENTE - PAGA
568;004317;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 618.917 VENC. 15/03/26 VIA CARTÃO DE CRÉDITO 8971 EM 10X - REF. A COMPRADE ESCADA DE FIBRA E ALUMINIO EXTENSIVEL P/ MANUTENÇÃO DE FIBRA NO PATIO DE PRUDENTE - PAGA
569;004375;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 618.917 VENC. 15/03/26 VIA CARTÃO DE CRÉDITO 8971 EM 10X - REF. A COMPRADE ESCADA DE FIBRA E ALUMINIO EXTENSIVEL P/ MANUTENÇÃO DE FIBRA NO PATIO DE PRUDENTE - PAGA
570;004470;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 618.917 VENC. 15/03/26 VIA CARTÃO DE CRÉDITO 8971 EM 10X - REF. A COMPRADE ESCADA DE FIBRA E ALUMINIO EXTENSIVEL P/ MANUTENÇÃO DE FIBRA NO PATIO DE PRUDENTE - PAGA
571;004494;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 618.917 VENC. 15/03/26 VIA CARTÃO DE CRÉDITO 8971 EM 10X - REF. A COMPRADE ESCADA DE FIBRA E ALUMINIO EXTENSIVEL P/ MANUTENÇÃO DE FIBRA NO PATIO DE PRUDENTE - PAGA
572;004510;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 618.917 VENC. 15/03/26 VIA CARTÃO DE CRÉDITO 8971 EM 10X - REF. A COMPRADE ESCADA DE FIBRA E ALUMINIO EXTENSIVEL P/ MANUTENÇÃO DE FIBRA NO PATIO DE PRUDENTE - PAGA
573;003830;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 62.781 VENC. 15/02/26 VIA CARTÃO DE CRÉDITO 8971 EM 1X - REF. A COMPRA DE LACRES NUMERADOS DE AÇO 30CM P/ USO NAS CARGAS DE MATERIAL FINO EM PRUDENTE - EMITIDO POR
579;002467;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 63.240 VENC. 15/01/26 VIA PIX - REF. A COMPRA DE ELEMENTO FOGUETINHO 11/2 P/ USO NO TANQUE DE DIESEL DO PATIO PRUDENTE -  - DOCUMENTO EMITIDO POR ME OU EPP OPTANTE
586;003332;VEICULO, MAQUINA E EQUIPAMENTO;EPT0024 (EMPILHADEIRA);EPT0024 (EMPILHADEIRA);MAQUINAS;alta;código de máquina na observação; CRISTINA - NFE. 65.835 VENC. 16/02/26 VIA BOL. (BOLETO NO DIA 16, POIS DIA 15 CAI EM UM DOMINGO) - REF. A COMPRA DE GAS LP 2.1 20KG P/ USO NA EMPILHADEIRA EPT0024, PRUDENTE -  - B
588;000995;MARINGA DISTRITO;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; - PAGAMENTO EFETUADO COM CARTAO FLASH DE FINAL 9645 - UNIDADE MARINGA PQ INDUSTRIAL
621;002618;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 76.323 VENC. 25/01/26 VIA BOL. - REF. A COMPRA DE MATERIAIS P/ REFORMA E MANUTENÇÃOS NO PATIO PRUDENTE -  - PEDIDO: 192570,192667 TRIB APROX R$: 206,58 FED E   216
644;002249;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;alta;código de máquina na observação; CRISTINA - NFE. 81.921 VENC. 15/03/26 VIA BOL. - REF. A COMPRA DE PORCA  P/ A PRENSA MOVEL PHH0062 - BATERIA 2032 P/ USO NO CONTROLE DO LAVADOR - E ABRAÇADEIRA P/ USO NA PRENSA MO
646;002265;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 82.033 VENC. 15/03/26 VIA BOL. - REF. A COMPRA DE PANO DE MALHA P/ USO EM MANUTENÇÕES NA OFICINA, PRUDENTE -  - PEDIDO: 001143327 13/02/26BC 121,44-18% 21,86TELEFO
652;002080;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 82.221 VENC. 15/03/26 VIA BOL. - REF. A COMPRA DE QUEROSENE P/ USO NO CAMINHÃO EJZ7998, PARAFUSOS E PORCAS P/ O CAMINHÃO NRV7727 E LIMPA CONTATO, LUBRIFICANTE E AB
653;002081;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 82.221 VENC. 15/03/26 VIA BOL. - REF. A COMPRA DE QUEROSENE P/ USO NO CAMINHÃO EJZ7998, PARAFUSOS E PORCAS P/ O CAMINHÃO NRV7727 E LIMPA CONTATO, LUBRIFICANTE E AB
656;004260;VEICULO, MAQUINA E EQUIPAMENTO;DTB6854;DTB6854;CAÇAMBAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 82.335 VENC. 25/03/26 VIA BOL. - REF. A COMPRA DE ABRAÇADEIRA 12X16 P/ USO NO PATIO -  ARAME MIG, BICO CONTATO, REGULADOR ARGONIO E ISQUEIRO P/ USO NO CAMINHÃO GHI
658;004262;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 82.335 VENC. 25/03/26 VIA BOL. - REF. A COMPRA DE ABRAÇADEIRA 12X16 P/ USO NO PATIO -  ARAME MIG, BICO CONTATO, REGULADOR ARGONIO E ISQUEIRO P/ USO NO CAMINHÃO GHI
659;004263;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 82.335 VENC. 25/03/26 VIA BOL. - REF. A COMPRA DE ABRAÇADEIRA 12X16 P/ USO NO PATIO -  ARAME MIG, BICO CONTATO, REGULADOR ARGONIO E ISQUEIRO P/ USO NO CAMINHÃO GHI
666;001671;ADMINISTRATIVO;ADMINISTRATIVO;ADMINISTRATIVO;CAMINHOES;baixa;sem indício forte (fallback); CRISTINA - NFE. 87.699 VENC. VIA BOL. - REF. A COMPRA DE CAMERAS E COMPLEMENTOS P/ INSTALAÇÃO NA CASA DA MÃE DO SR RENATO - VENDA: 246306414583 - ALIQUOTA 12% CONFORME RESOLUCAO S
667;004301;ADMINISTRATIVO;ADMINISTRATIVO;ADMINISTRATIVO;CAMINHOES;baixa;sem indício forte (fallback); CRISTINA - NFE. 87.699 VENC. VIA BOL. - REF. A COMPRA DE CAMERAS E COMPLEMENTOS P/ INSTALAÇÃO NA CASA DA MÃE DO SR RENATO - VENDA: 246306414583 - ALIQUOTA 12% CONFORME RESOLUCAO S
668;004304;ADMINISTRATIVO;ADMINISTRATIVO;ADMINISTRATIVO;CAMINHOES;baixa;sem indício forte (fallback); CRISTINA - NFE. 87.699 VENC. VIA BOL. - REF. A COMPRA DE CAMERAS E COMPLEMENTOS P/ INSTALAÇÃO NA CASA DA MÃE DO SR RENATO - VENDA: 246306414583 - ALIQUOTA 12% CONFORME RESOLUCAO S
669;004416;ADMINISTRATIVO;ADMINISTRATIVO;ADMINISTRATIVO;CAMINHOES;baixa;sem indício forte (fallback); CRISTINA - NFE. 87.699 VENC. VIA BOL. - REF. A COMPRA DE CAMERAS E COMPLEMENTOS P/ INSTALAÇÃO NA CASA DA MÃE DO SR RENATO - VENDA: 246306414583 - ALIQUOTA 12% CONFORME RESOLUCAO S
670;004232;DOURADOS;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 878.140 VENC. 15/02/26 VIA CARTÃO 8971 EM 1X - REF. A COMPRA DE AR CONDICIONADOR 9.000BTUS 220V P/ USO NO ESCRITORIO SELETIVA DE DOURADOS (SOLICITADO POR GISELE) -
679;003702;S4 EMPREENDIMENTOS;SUCESSO ROSANA;SUCESSO ROSANA;CAMINHOES;baixa;sem indício forte (fallback); CRISTINA - NFE. 91.770 VENC. 26/02/26 VIA BOL. - REF. A COMPRA DE DISCO DIAMANTADO MTX 350MM X 25,4MM P/ USO NO AEROPORTO DE ROSANA -  - PEDIDO: 589297  CLIENTE :19832 PEDIDO POR 
680;001025;DOURADOS;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4;" NFE 931 PTO BOL VENC. 13/02 - REF. COMPRA DE GAS 13KG PARA USO NA COPA UND. DOURADOS. -  - VOCE PAGOU APROXIMADAMENTE:; R$18,16 DE TRIBUTOS FEDERAIS; R$40,50 DE TRIBUTOS ESTADUAIS"
688;002781;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4;REF. AS NF 94762 E 94744 OC 27714 - CRISTINA - NFE. 94.762 VENC. 29/01/26 VIA BOL. (BOLETO EM CONJUNTO COM A NF 94.744) - REF. A COMPRA DE PEÇAS UTILIZADAS  EM CAMINHÃO DE TERCEIRO
723;000217;ADMINISTRATIVO;ADMINISTRATIVO;ADMINISTRATIVO;CAMINHOES;baixa;sem indício forte (fallback); - CRISTINA - 1 VENC. 12/01/26 VIA PIX - REF. A TROCA DE 1 ANEL DE RESALTO (1.100), 1 ANEL ELETRICO (R$ 220,00) 1 JOGO DE SAPATA  E ROLETE (R$180,00) 1 JOGO DE PALHETAS DE AÇO (R$ 
725;003309;PRESIDENTE PRUDENTE;ADMINISTRATIVO;ADMINISTRATIVO;CAMINHOES;baixa;sem indício forte (fallback); - CRISTINA - REF A TROCA DE 2 TAMPOS DE MESA, VIDRO INCOLOR , MESA DO REFEITORIO - AUTORIZADO POR GIULIANA  PAGAMENTO VIA PIX - VENCIMENTO 15/02 - NFS 10
